"ID_ZIVALI","ZIV_ID_SEQ","DAT_ROJSTVO","SIF_SPOL"
"SI12387665",1276866,"24.06.01","2"
"SI02387680",1276894,"04.11.01","2"
"SI1143961",34349,"13.04.90","2"
"SI42387088",1281107,"10.02.01","1"
"SI1968450",754854,"13.10.99","1"
"SI72387645",1281601,"13.12.01","2"
"SI02387635",1281631,"18.10.01","1"
"SI1968341",755421,"15.11.99","1"
"SI1968342",755422,"15.11.99","1"
"SI1891176",755525,"28.08.99","1"
"SI93627966",2679956,"30.01.09","2"
"SI23631753",2678994,"02.02.09","2"
"SI83461853",2678498,"14.12.08","2"
"SI03631755",2678214,"07.02.09","1"
"SI53467388",2676939,"12.12.08","1"
"SI33627924",2676681,"30.01.09","2"
"SI83458095",2675483,"09.12.08","2"
"SI43627019",2567227,"25.07.08","2"
"SI03627020",2567229,"03.08.08","1"
"SI83627022",2567232,"30.07.08","1"
"SI23544796",2567394,"29.07.08","1"
"SI53543273",2567487,"28.07.08","2"
"SI53697286",2674934,"24.01.09","2"
"SI63605842",2568501,"23.07.08","2"
"SI33461762",2674408,"08.12.08","2"
"SI93720533",2674588,"23.01.09","2"
"SI93467391",2672023,"05.12.08","1"
"SI33452977",2672220,"05.12.08","1"
"SI33697147",2671773,"11.01.09","1"
"SI73598910",2568898,"04.08.08","1"
"SI13598909",2568900,"25.07.08","1"
"SI53591685",2569012,"25.07.08","2"
"SI53627032",2569288,"04.08.08","2"
"SI63627031",2569290,"04.08.08","2"
"SI63622249",2670542,"23.01.09","2"
"SI73643986",2670362,"16.01.09","1"
"SI93627911",2670202,"12.01.09","2"
"SI33467366",2669769,"01.12.08","1"
"SI93700652",2669545,"12.01.09","1"
"SI83623279",2669138,"22.01.09","1"
"SI23622494",2669141,"18.01.09","2"
"SI53621517",2668685,"14.01.09","2"
"SI13627878",2667778,"19.01.09","1"
"SI23627877",2667612,"21.01.09","1"
"SI63697869",2667463,"28.12.08","2"
"SI53458098",2666179,"27.11.08","1"
"SI13652258",2569750,"20.07.08","1"
"SI53542746",2569765,"01.08.08","1"
"SI93450890",2665903,"26.11.08","2"
"SI33467359",2665666,"25.11.08","2"
"SI43627033",2570000,"04.08.08","2"
"SI73652276",2570085,"29.07.08","1"
"SI63652277",2570086,"20.07.08","2"
"SI33652809",2570096,"05.08.08","1"
"SI23462489",2664738,"24.11.08","1"
"SI53652670",2570712,"02.08.08","1"
"SI63462540",2664089,"18.11.08","2"
"SI83462490",2663973,"20.11.08","2"
"SI73453565",2664026,"22.11.08","2"
"SI83449482",2664074,"03.11.08","1"
"SI43467365",2664076,"20.11.08","2"
"SI83453382",2663709,"15.11.08","2"
"SI33453569",2663740,"14.11.08","2"
"SI63453566",2663830,"22.11.08","1"
"SI83453557",2663158,"08.11.08","2"
"SI13449472",2663189,"06.11.08","2"
"SI93457938",2663004,"31.10.08","2"
"SI63454725",2662938,"05.11.08","2"
"SI23458091",2662580,"01.11.08","2"
"SI23459315",2662401,"24.10.08","1"
"SI13610494",2662205,"12.01.09","2"
"SI83698198",2662028,"11.01.09","1"
"SI53539854",2570987,"04.08.08","1"
"SI63539853",2570988,"10.08.08","1"
