"ID_ZIVALI","ZIV_ID_SEQ","DAT_ROJSTVO","SIF_SPOL"
"SI14627211",4804838,22.05.17,"2"
"SI65117507",5304956,08.04.19,"1"
"SI55182513",5304984,04.06.19,"2"
"SI65182512",5304986,30.05.19,"1"
"SI75182511",5304988,30.05.19,"1"
"SI85182510",5304990,21.05.19,"1"
"SI25182509",5304992,03.05.19,"1"
"SI35182508",5304994,30.04.19,"1"
"SI45182507",5304998,27.04.19,"1"
"SI05163621",5301220,03.04.19,"2"
"SI15208082",5305782,20.05.19,"1"
"SI35211886",5305810,03.06.19,"1"
"SI94750258",4434479,26.01.16,"1"
"SI85194164",5257754,16.03.19,"2"
"SI04496612",4016806,04.07.14,"2"
"SI14922138",4797540,19.05.17,"2"
"SI74981812",5015558,14.03.18,"2"
"SI94981803",4989018,03.03.18,"2"
"SI14681893",4723789,29.01.17,"1"
"SI73549521",2795496,02.06.09,"2"
"SI35183396",5306857,07.06.19,"1"
"SI84782997",5306943,11.04.19,"1"
"SI15207177",5307341,02.06.19,"1"
"SI05207178",5307344,30.05.19,"2"
"SI45087062",5308523,13.04.19,"2"
"SI75163136",5308903,28.05.19,"2"
"SI95160447",5309141,06.06.19,"1"
"SI64959979",4748842,12.04.17,"1"
"SI65010572",4801230,10.06.17,"1"
"SI74960837",4837170,20.07.17,"1"
"SI54960839",4913059,25.09.17,"1"
"SI55275992",5309256,15.04.19,"1"
"SI05184235",5309698,03.06.19,"1"
"SI85163623",5301702,04.04.19,"2"
"SI24947185",5309949,03.06.19,"1"
"SI85158911",5310007,25.05.19,"1"
"SI75158912",5310008,27.05.19,"1"
"SI84210784",3694600,08.03.13,"2"
"SI54463167",3973670,19.04.14,"2"
"SI85061246",4945458,07.01.18,"2"
"SI65124833",5155920,21.10.18,"2"
"SI05152171",5218227,18.01.19,"2"
"SI14451555",4230011,26.03.15,"1"
"SI35194554",5310256,15.04.19,"2"
"SI53447658",2518984,26.02.08,"1"
"SI84121251",3480357,10.04.12,"1"
"SI94228333",3708107,11.04.13,"2"
"SI24532901",4173036,05.02.15,"2"
"SI55079727",5311349,17.04.19,"2"
"SI05180114",5311352,17.04.19,"1"
"SI14665253",4543350,05.07.16,"2"
"SI74665219",4511508,31.05.16,"2"
"SI04663094",4490823,25.04.16,"2"
"SI34981964",5311805,18.04.19,"1"
"SI85124738",5311862,18.04.19,"1"
"SI35183286",5311897,18.04.19,"2"
"SI94783227",5311954,18.04.19,"2"
"SI15072308",5312180,12.06.19,"1"
"SI95146579",5312334,01.06.19,"2"
"SI55208064",5312518,03.06.19,"1"
"SI04813172",4502990,19.05.16,"1"
"SI55043906",5019487,06.04.18,"2"
"SI45130768",5312981,26.05.19,"2"
"SI35130769",5312983,29.05.19,"2"
"SI65130780",5312984,29.05.19,"2"
"SI55130781",5312986,29.05.19,"2"
"SI35130783",5312987,08.06.19,"1"
"SI15079714",5313182,22.01.19,"1"
"SI95079716",5290968,20.03.19,"2"
"SI05079722",5306635,10.04.19,"1"
"SI95079723",5306366,10.04.19,"2"
"SI85079724",5308619,13.04.19,"1"
"SI54656859",4569675,27.06.16,"2"
"SI65079726",5311451,17.04.19,"1"
"SI95079730",5312611,19.04.19,"2"
"SI75079732",5313187,07.06.19,"1"
"SI64780818",4684905,08.01.17,"1"
"SI34671751",4752735,19.04.17,"1"
"SI94641301",4729075,06.03.17,"2"
"SI74950371",4758393,24.04.17,"2"
"SI14533240",4188241,22.02.15,"2"
"SI65073153",4985149,20.02.18,"2"
"SI45073155",4994936,12.03.18,"2"
"SI95272995",5313873,07.05.19,"1"
"SI05272994",5313877,23.04.19,"1"
"SI15272993",5297418,29.03.19,"1"
"SI35272991",5293958,24.03.19,"2"
"SI15203094",5314132,14.06.19,"2"
"FR1208099630",4806311,17.09.07,"1"
"FR4813018864",4806312,11.09.12,"1"
"SI74944905",4806820,12.06.17,"1"
"SI74825657",4806846,15.06.17,"2"
"SI13827669",3058578,18.08.10,"1"
"SI23896835",3059077,26.08.10,"2"
"SI43505737",3059177,03.07.10,"1"
"SI73868828",3059516,22.08.10,"1"
"SI23884401",3059740,04.07.10,"1"
"SI73896366",3060283,28.08.10,"1"
"SI93888336",3060367,30.08.10,"1"
"DE0534277382",3060827,16.11.05,"1"
"SI33888143",3064418,03.09.10,"1"
"SI63868616",3064893,30.08.10,"1"
"SI13897813",3065885,31.08.10,"2"
"SI04121369",3712597,23.02.13,"1"
"SI33505738",3067708,15.07.10,"1"
"SI33740410",3068570,16.07.10,"2"
"SI83919136",3069783,11.09.10,"2"
"SI33815611",3069798,08.09.10,"2"
"SI63815962",3070049,02.09.10,"1"
"SI23919039",3070291,09.09.10,"2"
"SI23869350",3070791,01.08.10,"2"
"SI73919216",3072807,31.08.10,"1"
"SI03761034",3073977,24.07.10,"1"
"SI53911344",3076322,11.09.10,"1"
"SI43867284",3076418,18.09.10,"2"
"SI43898048",3076487,12.09.10,"2"
"SI33888150",3076566,13.09.10,"2"
"SI23888151",3076567,11.09.10,"2"
"SI23506060",3076965,28.07.10,"2"
"SI73739193",3078006,26.08.10,"1"
"SI63739194",3078010,29.08.10,"1"
"SI53739195",3078012,01.09.10,"2"
"SI83881103",3078212,30.08.10,"2"
"SI83896420",3078425,12.09.10,"1"
"SI53870034",3078516,17.09.10,"2"
"SI13870052",3078521,12.09.10,"1"
"SI33897873",3078687,08.09.10,"2"
"SI53868617",3079720,19.09.10,"1"
"SI83919246",3080328,20.09.10,"1"
"SI13897260",3080476,09.09.10,"1"
"SI33814177",3081203,17.09.10,"2"
"SI43814190",3081205,09.09.10,"2"
"SI73881104",3081942,05.08.10,"2"
"SI63786990",3083802,03.10.10,"1"
"SI43786978",3083806,29.09.10,"2"
"SI43786992",3083811,30.09.10,"1"
"SI33786993",3083812,30.09.10,"1"
"SI53786977",3083815,23.09.10,"2"
"SI23786994",3083817,23.09.10,"1"
"SI03501074",3084174,08.08.10,"2"
"SI63878206",3084696,24.09.10,"1"
"SI33876726",3084702,21.09.10,"1"
"SI13906289",3087237,04.10.10,"2"
"SI63809149",3088027,21.09.10,"1"
"SI73867700",3088031,02.09.10,"2"
"SI43867686",3088043,15.09.10,"1"
"SI93786980",3089014,09.10.10,"2"
"SI33786979",3089017,07.10.10,"2"
"SI73761037",3089165,15.08.10,"2"
"SI43808841",3090965,18.08.10,"1"
"SI23505739",3092043,20.08.10,"2"
"SI93919290",3093261,28.09.10,"1"
"SI93814171",3093268,03.10.10,"2"
"SI43816666",3093471,20.09.10,"1"
"SI93869906",3093501,17.09.10,"1"
"SI03743155",3093503,15.09.10,"2"
"SI33867546",3093513,26.09.10,"2"
"SI63761038",3093582,22.08.10,"1"
"SI53919603",3094253,12.10.10,"1"
"IT030990048425",3094587,03.05.04,"2"
"FR2304628962",3094599,18.10.03,"1"
"IT030000557635",3094603,26.02.01,"2"
"SI23815959",3094677,18.10.10,"2"
"SI43815438",3095275,11.10.10,"1"
"SI23867224",3095485,20.10.10,"1"
"SI83510139",3096779,20.10.10,"1"
"SI83816057",3098342,01.10.10,"2"
"SI43920666",3098459,23.10.10,"1"
"SI33815161",3100677,10.10.10,"1"
"SI53815437",3100808,30.09.10,"2"
"SI63906961",3103587,02.11.10,"1"
"SI93899271",3103711,15.10.10,"1"
"SI43898646",3103787,23.10.10,"2"
"SI73786982",3108456,02.11.10,"2"
"SI83786981",3108459,30.10.10,"2"
"SI93814683",3109427,29.10.10,"1"
"SI73898399",3110160,25.10.10,"1"
"SI93808640",3111290,27.10.10,"2"
"SI43907531",3112546,13.11.10,"2"
"SI73740416",3113030,19.09.10,"2"
"SI13899925",3113723,25.10.10,"2"
"SI53808527",3114353,29.10.10,"2"
"SI63808526",3114403,26.09.10,"2"
"SI13899949",3114495,11.11.10,"1"
"SI33942124",3115907,31.10.10,"1"
"SI43808528",3116881,12.11.10,"2"
"SI93878856",3117279,25.09.10,"2"
"SI53907688",3117585,04.11.10,"1"
"SI43898749",3117726,10.11.10,"1"
"SI63881105",3120209,29.09.10,"1"
"SI63740417",3121451,01.10.10,"2"
"SI53881106",3124296,06.10.10,"1"
"SI83875548",3125694,15.11.10,"2"
"SI13907723",3127780,18.11.10,"1"
"SI33907532",3127869,28.11.10,"2"
"SI93876696",3129892,10.12.10,"1"
"SI53876690",3129893,03.12.10,"2"
"SI43881107",3130033,15.10.10,"1"
"SI53876731",3130236,23.11.10,"1"
"SI33881108",3130632,16.10.10,"2"
"SI73814173",3130634,16.10.10,"1"
"SI83892574",3131424,05.12.10,"1"
"SI93911436",3131976,20.11.10,"1"
"SI23881109",3133509,20.10.10,"1"
"SI23872156",3134155,07.12.10,"2"
"SI73979681",3134230,04.12.10,"1"
"SI63878189",3134705,01.12.10,"1"
"CZ423776931",3135153,20.06.10,"2"
"CZ424345931",3135154,10.07.10,"2"
"SI33808529",3135793,09.12.10,"1"
"SI93945303",3139327,26.12.10,"1"
"SI73881111",3141184,01.11.10,"2"
"SI43962286",3141575,16.12.10,"2"
"SI43882445",3142414,23.12.10,"2"
"SI53882444",3142415,22.12.10,"1"
